tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az
mc01a	g		-57.0				-77.85	166.64				
mc01b	g		-63.0				-77.85	166.64				
mc01c	g		-30.0				-77.85	166.64				
mc01d	g		-57.0				-77.85	166.64				
mc01e	g		-51.0				-77.85	166.64				
mc01f	g		-55.0				-77.85	166.64				
mc01g	g		-56.0				-77.85	166.64				
mc01h	g		-41.0				-77.85	166.64				
mc02a	g		-50.0				-77.85	166.69				
mc02b	g		-59.0				-77.85	166.69				
mc02c	g		-58.0				-77.85	166.69				
mc02d	g		-68.0				-77.85	166.69				
mc02e	g		-43.0				-77.85	166.69				
mc02f	g		-50.0				-77.85	166.69				
mc02g	g		-32.0				-77.85	166.69				
mc02h	g		-48.0				-77.85	166.69				
mc03a	g		-68.0				-77.84	166.76				
mc03b	g		-66.0				-77.84	166.76				
mc03c	g		-76.0				-77.84	166.76				
mc03d	g		-58.0				-77.84	166.76				
mc03e	g		-68.0				-77.84	166.76				
mc03f	g		-86.0				-77.84	166.76				
mc03g	g		-41.0				-77.84	166.76				
mc03h	g		-58.0				-77.84	166.76				
mc04a	g		-43.0				-77.84	166.7				
mc04b	g		-50.0				-77.84	166.7				
mc04c	g		-33.0				-77.84	166.7				
mc04d	g		-55.0				-77.84	166.7				
mc04e	g		-68.0				-77.84	166.7				
mc04f	g		-39.0				-77.84	166.7				
mc04g	g		-29.0				-77.84	166.7				
mc04h	g		-55.0				-77.84	166.7				
mc06a	g		-23.0				-77.83	166.67				
mc06b	g		-13.0				-77.83	166.67				
mc06c	g		-26.0				-77.83	166.67				
mc06d	g		-20.0				-77.83	166.67				
mc06e	g		-18.0				-77.83	166.67				
mc06f	g		-17.0				-77.83	166.67				
mc06g	g		-22.0				-77.83	166.67				
mc06h	g		-22.0				-77.83	166.67				
mc07a	g		-50.0				-77.8	166.72				
mc07b	g		-47.0				-77.8	166.72				
mc07c	g		-53.0				-77.8	166.72				
mc07d	g		-45.0				-77.8	166.72				
mc07e	g		-49.0				-77.8	166.72				
mc07f	g		-50.0				-77.8	166.72				
mc07g	g		-39.0				-77.8	166.72				
mc07h	g		-51.0				-77.8	166.72				
mc08a	g		-54.0				-77.8	166.83				
mc08b	g		-35.0				-77.8	166.83				
mc08c	g		-32.0				-77.8	166.83				
mc08d	g		-28.0				-77.8	166.83				
mc08e	g		-27.0				-77.8	166.83				
mc08f	g		-49.0				-77.8	166.83				
mc08g	g		-48.0				-77.8	166.83				
mc08h	g		-32.0				-77.8	166.83				
mc09a	g		-50.0				-77.55	166.2				
mc09b	g		-48.0				-77.55	166.2				
mc09c	g		-67.0				-77.55	166.2				
mc09d	g		-76.0				-77.55	166.2				
mc09e	g		-71.0				-77.55	166.2				
mc09f	g		-75.0				-77.55	166.2				
mc09g	g		-57.0				-77.55	166.2				
mc09h	g		-56.0				-77.55	166.2				
mc100a	g		-65.0				-78.30199999999999	162.9				
mc100b	g		-62.0				-78.30199999999999	162.9				
mc100c	g		-42.0				-78.30199999999999	162.9				
mc100d	g		-47.0				-78.30199999999999	162.9				
mc100e	g		-47.5				-78.30199999999999	162.9				
mc100f	g		-48.0				-78.30199999999999	162.9				
mc100g	g		-28.5				-78.30199999999999	162.9				
mc100h	g		-31.0				-78.30199999999999	162.9				
mc100i	g		-21.0				-78.30199999999999	162.9				
mc100j	g		-22.0				-78.30199999999999	162.9				
mc101a	g		-64.0				-78.306	162.928				
mc101b	g		-49.5				-78.306	162.928				
mc101c	g		-50.5				-78.306	162.928				
mc101d	g		-68.0				-78.306	162.928				
mc101e	g		-72.5				-78.306	162.928				
mc101f	g		-73.5				-78.306	162.928				
mc101g	g		-45.5				-78.306	162.928				
mc101h	g		-65.0				-78.306	162.928				
mc101i	g		-62.0				-78.306	162.928				
mc101j	g		-79.0				-78.306	162.928				
mc102a	g		-79.5				-78.235	163.352				
mc102b	g		-82.5				-78.235	163.352				
mc102c	g		-61.0				-78.235	163.352				
mc102d	g		-57.0				-78.235	163.352				
mc102e	g		-56.0				-78.235	163.352				
mc102f	g		-84.0				-78.235	163.352				
mc102g	g		-72.0				-78.235	163.352				
mc102h	g		-76.0				-78.235	163.352				
mc102i	g		-72.0				-78.235	163.352				
mc102j	g		-75.0				-78.235	163.352				
mc102k	g		-51.0				-78.235	163.352				
mc102l	g		-82.0				-78.235	163.352				
mc102m	g		-66.0				-78.235	163.352				
mc103a	g		-37.0				-78.235	163.36				
mc103b	g		-45.0				-78.235	163.36				
mc103c	g		-59.5				-78.235	163.36				
