tab 	ages
age	age_high	age_low	age_unit	citations	description	location	method_codes	site
-740	-732	-800	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz05
-740	-732	-800	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz06
-850	-800	-900	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz07
-950	-900	-1000	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz09
-950	-900	-1000	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz10
-1050	-1000	-1100	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz11
-1250	-1250	-1350	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz13
-1550	-1450	-1650	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz15
-2150	-2000	-2300	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz18
-2700	-2500	-2800	Years Cal AD (+/-)	This study	Tel-Hazor chronology. 2015 revision. Amnon Ben-Tor and Sharon Zuckerman, personal communication	Tel Hazor	GM-C14:GM-CC-ARCH	hz20
