tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
5.09	3.2976129999999997	5.069691000000001	0.174003	0.337004 : 0.321979 : 0.341017 : -0.003989 : 0.000292 : -0.021473	6.0	0.01184	ATRM	0.360795 : 353.7 : -47.2	0.323095 : 287.1 : 20.2	0.316110 : 212.5 : -35.8	This study	Critical F: 3.1059									hz05e1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e2	Archeologic	Ceramic	7e-05	0.02	c	1.03	0.93	0.83	6.17	0.8	0.78	0.82	2.66	10.0	6.0	32.03	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e2
1.4	0.238988	0.302253	0.038282	0.331240 : 0.326898 : 0.341861 : -0.000523 : -0.004660 : 0.003337	6.0	0.017586	ATRM	0.344071 : 314.2 : 68.7	0.330398 : 188.8 : 12.7	0.325532 : 94.9 : 16.8	This study	Critical F: 3.1059									hz05e2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e3	Archeologic	Ceramic	6.94e-05	0.02	c	1.04	0.93	0.7	3.37	0.77	0.76	0.85	2.78	11.0	5.0	31.07	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e3
2.3	0.728668	0.570503	0.349327	0.343013 : 0.324793 : 0.332194 : -0.016881 : -0.001264 : 0.002842	6.0	0.020388	ATRM	0.353532 : 329.3 : 8.2	0.331754 : 140.6 : 81.7	0.314713 : 239.1 : 1.2	This study	Critical F: 3.1059									hz05e3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e4	Archeologic	Ceramic	7.03e-05	0.04	c	1.03	0.94	1.93	0.8	0.72	0.74	0.86	5.0	11.0	5.0	16.52	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e4
3.42	11.464363	12.667577	2.835353	0.340318 : 0.321947 : 0.337736 : 0.012899 : -0.015376 : -0.011908	6.0	0.006701	ATRM	0.361138 : 35.5 : -38.5	0.327409 : 350.3 : 41.6	0.311452 : 104.2 : 24.5	This study	Critical F: 3.1059									hz05e4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e5	Archeologic	Ceramic	7.3e-05	0.03	c	0.98	0.94	1.27	0.38	0.83	0.84	0.9	2.94	12.0	6.0	28.42	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e5
1.55	1.51672	2.449097	0.048835	0.328384 : 0.347950 : 0.323666 : 0.011349 : -0.006727 : -0.000779	6.0	0.013401	ATRM	0.354502 : 246.2 : 11.8	0.324843 : 165.6 : -38.0	0.320655 : 141.9 : 49.6	This study	Critical F: 3.1059									hz05e5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e6	Archeologic	Ceramic	7.190000000000001e-05	0.02	c	0.99	0.95	0.76	0.34	0.87	0.82	0.73	2.85	8.0	6.0	31.37	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	623.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e6
2.62	0.9241149999999999	0.021200999999999998	1.531331	0.324949 : 0.336112 : 0.338939 : 0.008675 : -0.000955 : 0.000535	6.0	0.010656	ATRM	0.341012 : 62.1 : -16.0	0.338818 : 51.5 : 73.8	0.320170 : 151.3 : 2.8	This study	Critical F: 3.1059									hz05e6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05e	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f1	Archeologic	Ceramic	7.7e-05	0.01	c	1.05	0.97	1.05	0.95	0.75	0.77	0.88	2.83	10.0	5.0	53.59	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f1
1.41	1.799987	2.090846	0.385938	0.327014 : 0.332162 : 0.340824 : 0.009206 : -0.013132 : -0.003506	6.0	0.011892	ATRM	0.353028 : 242.6 : 47.4	0.328710 : 206.6 : -36.7	0.318262 : 131.1 : 18.6	This study	Critical F: 3.1059									hz05f1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f2	Archeologic	Ceramic	8.25e-05	0.02	c	1.03	0.97	0.75	3.07	0.89	0.9	0.91	3.05	14.0	6.0	32.58	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f2
2.83	7.5841009999999995	8.017921000000001	2.099236	0.341519 : 0.330030 : 0.328451 : 0.024522 : -0.005263 : -0.003048	6.0	0.008527	ATRM	0.361920 : 218.8 : 9.6	0.327776 : 1.1 : 77.9	0.310305 : 127.6 : 7.3	This study	Critical F: 3.1059									hz05f2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f3	Archeologic	Ceramic	7.840000000000001e-05	0.01	c	1.09	0.96	0.76	0.33	0.79	0.81	0.89	2.36	11.0	6.0	52.04	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f3
0.77	20.051192	21.523087	5.346092	0.331400 : 0.319360 : 0.349240 : -0.009992 : -0.008811 : 0.010649	6.0	0.004541	ATRM	0.358146 : 145.7 : -57.1	0.328351 : 336.6 : -32.4	0.313502 : 63.4 : 5.0	This study	Critical F: 3.1059									hz05f3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f4	Archeologic	Ceramic	8.35e-05	0.01	c	1.01	0.96	0.84	3.05	0.82	0.82	0.9	2.92	12.0	6.0	53.26	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f4
