"hosp_curr","LATITUDE","LONGITUDE"
"010739",37.855711,-122.257891
"010776",37.836771,-122.26785
"010805",37.69798,-122.087229
"010846",37.799398,-122.231674
"010856",37.814998,-122.251831
"010858",37.54827,-121.988572
"010967",37.63294,-122.089366
"010987",37.557637,-121.98092
"013626",37.821545,-122.263066
"014034",37.547884,-121.977706
"014050",37.678763,-121.782578
"034002",38.350284,-120.764682
"040875",39.756464,-121.572267
"040937",39.504946,-121.540966
"040962",39.742639,-121.850443
"050932",38.190191,-120.671158
"060870",39.20725,-121.999931
"070924",38.006764,-122.132794
"070934",37.982384,-121.805513
"070988",37.913952,-122.041488
"070990",37.892182,-122.058215
"071018",37.977886,-122.037866
"074017",37.776055,-121.957574
"074097",37.950856,-121.775272
"084001",41.772724,-124.194037
"090793",38.912032,-119.998268
"090933",38.725623,-120.790957
"100005",36.837462,-119.661603
"100697",36.150998,-120.337567
"100717",36.743849,-119.786051
"100793",36.568865,-119.598425
"100797",36.607828,-119.451336
"100899",36.83612,-119.767659
"104062",36.84271,-119.783373
"121002",40.895969,-124.092946
"121051",40.582546,-124.135541
"121080",40.782111,-124.142084
"130699",32.7804456,-115.5685771
"130760",32.959976,-115.552825
"141273",37.361603,-118.407326
"150706",35.761323,-119.238809
"150722",35.391096,-119.008196
"150736",35.381055,-118.967578
"150737",35.635309,-118.406275
"150782",35.640846,-117.669885
"150788",35.383098,-119.021161
"154108",35.351452,-119.114276
"160787",36.335959,-119.646002
"164029",36.323787,-119.666447
"171049",38.935591,-122.620185
"171395",39.102027,-122.910369
"184008",40.438148,-120.627443
"190034",34.689348,-118.158006
"190053",33.780152,-118.189282
"190066",33.902533,-118.133002
"190081",34.014005,-118.099788
"190125",34.037149,-118.265442
"190148",33.950875,-118.349143
"190170",34.098121,-118.290673
"190198",34.019848,-118.186224
"190200",34.101206,-118.106491
"190230",33.967565,-118.345194
"190243",33.935183,-118.131971
"190256",34.023906,-118.184004
"190298",34.132425,-117.87159
"190307",34.065166,-118.238306
"190315",34.068974,-118.122956
"190323",34.149408,-118.230323
"190328",34.128661,-117.865186
"190352",34.047959,-118.04245
"190382",34.09696,-118.290681
"190385",34.279044,-118.45998
"190392",34.053247,-118.265256
"190400",34.13559,-118.152899
"190413",34.08988,-117.893646
"190422",33.810251,-118.344576
"190429",34.098167,-118.295396
"190431",33.788729,-118.294292
"190432",34.21982,-118.429382
"190434",34.037866,-118.373483
"190470",33.838914,-118.358002
"190475",33.788953,-118.145861
"190517",34.171775,-118.533759
"190521",33.893327,-118.296204
"190522",34.127611,-118.257029
"190525",33.807688,-118.18571
"190529",34.13444,-118.042793
"190547",34.04968,-118.137653
"190555",34.075243,-118.381558
"190568",34.219299,-118.533462
"190587",33.806298,-118.192497
"190630",34.077997,-117.751308
"190631",33.967491,-118.048156
"190636",34.064138,-117.943892
"190673",34.0994,-117.835112
"190680",33.738852,-118.305897
"190687",34.027503,-118.486035
"190696",34.241118,-118.395691
"190754",33.930609,-118.202353
"190756",34.029761,-118.478744
"190758",34.155345,-118.328432
"190762",34.063254,-118.273745
"190766",33.912469,-118.099122
"190796",34.064713,-118.446063
"190812",34.193949,-118.46303
"190818",34.205569,-118.216323
"190859",34.202468,-118.629408
"190878",34.050853,-118.216909
"190883",33.949957,-118.004349
"190949",34.396462,-118.553217
"191227",33.831559,-118.294558
"191228",34.060748,-118.20895
"191231",34.324072,-118.450899
"191450",34.170359,-118.588367
"196035",34.066644,-117.98381
"196168",33.807688,-118.18571
"196403",33.919242,-118.128811
"201281",36.94541,-120.045875
"204019",36.884439,-119.800542
"211006",37.948872,-122.535802
"230949",39.400885,-123.350618
"231013",39.430836,-123.800738
"231396",39.153762,-123.203928
"240924",37.063461,-120.859427
"240942",37.340119,-120.465248
"250956",41.480028,-120.544356
"260011",37.643136,-118.963907
"270744",36.594395,-121.879709
"270777",36.206202,-121.131678
"270875",36.659611,-121.64483
"274043",36.695466,-121.631296
"281047",38.323769,-122.294864
"281078",38.542049,-122.475253
"291023",39.229313,-121.048351
"291053",39.324885,-120.201261
"300032",33.780361,-117.865184
"300225",33.701636,-117.956126
"301098",33.847967,-117.932166
"301175",33.714416,-117.936972
"301188",33.820553,-117.909071
"301205",33.625673,-117.931437
"301234",33.846371,-118.038493
"301248",33.803468,-118.066345
"301258",33.71071,-117.885374
"301262",33.560371,-117.6664
"301279",33.786192,-117.888881
"301283",33.7745,-117.913687
"301317",33.608017,-117.708241
"301340",33.782315,-117.864857
"301342",33.895536,-117.927984
"301379",33.824761,-117.995529
"301566",33.75368,-117.834175
"304113",33.560371,-117.6664
"304306",33.658452,-117.774463
"304409",33.852082,-117.844133
"311000",38.766012,-121.249633
"314024",38.747407,-121.250657
"331145",33.858806,-117.55444
"331152",33.872277,-117.566916
"331164",33.838897,-116.545566
"331168",33.762994,-116.398909
"331194",33.751195,-116.960014
"331216",33.707385,-116.236923
"331288",33.612346,-114.595442
"331293",33.925581,-117.439914
"331312",33.976148,-117.379931
"331326",33.932407,-116.946878
"334001",33.590462,-117.228308
"334018",33.719957,-117.163594
"334025",33.906473,-117.47071
