tab 	measurements
citations	experiment	experiments	location	meas_orient_phi	meas_orient_theta	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_volume	treat_temp
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	315.0	0.0	2.730e+02	1	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009950000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	225.0	0.0	2.730e+02	2	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009990000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	180.0	0.0	2.730e+02	3	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009930000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	135.0	0.0	2.730e+02	4	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009950000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	45.0	0.0	2.730e+02	5	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0010000000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	90.0	-45.0	2.730e+02	6	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0010040000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	270.0	-45.0	2.730e+02	7	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009990000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	270.0	0.0	2.730e+02	8	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0010010000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	270.0	45.0	2.730e+02	9	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0010040000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	90.0	45.0	2.730e+02	10	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009990000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	180.0	45.0	2.730e+02	11	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009980000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	180.0	-45.0	2.730e+02	12	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009970000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	0.0	-90.0	2.730e+02	13	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0010020000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	0.0	-45.0	2.730e+02	14	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009980000	2.730e+02
This study	998.:LP-AN-MS	tr245f:LP-AN-MS	Troodos Ophiolite	0.0	45.0	2.730e+02	15	LP-X	g	tr245f	tr245	pmagpy-4.2.26	tr245f	u	0.0009970000	2.730e+02
This study	1068.:LP-AN-MS	tr245g:LP-AN-MS	Troodos Ophiolite	315.0	0.0	2.730e+02	1	LP-X	g	tr245g	tr245	pmagpy-4.2.26	tr245g	u	0.0010760000	2.730e+02
This study	1068.:LP-AN-MS	tr245g:LP-AN-MS	Troodos Ophiolite	225.0	0.0	2.730e+02	2	LP-X	g	tr245g	tr245	pmagpy-4.2.26	tr245g	u	0.0010660000	2.730e+02
This study	1068.:LP-AN-MS	tr245g:LP-AN-MS	Troodos Ophiolite	180.0	0.0	2.730e+02	3	LP-X	g	tr245g	tr245	pmagpy-4.2.26	tr245g	u	0.0010720000	2.730e+02
This study	1068.:LP-AN-MS	tr245g:LP-AN-MS	Troodos Ophiolite	135.0	0.0	2.730e+02	4	LP-X	g	tr245g	tr245	pmagpy-4.2.26	tr245g	u	0.0010770000	2.730e+02
This study	1068.:LP-AN-MS	tr245g:LP-AN-MS	Troodos Ophiolite	45.0	0.0	2.730e+02	5	LP-X	g	tr245g	tr245	pmagpy-4.2.26	tr245g	u	0.0010670000	2.730e+02
This study	1068.:LP-AN-MS	tr245g:LP-AN-MS	Troodos Ophiolite	90.0	-45.0	2.730e+02	6	LP-X	g	tr245g	tr245	pmagpy-4.2.26	tr245g	u	0.0010760000	2.730e+02
This study	1068.:LP-AN-MS	tr245g:LP-AN-MS	Troodos Ophiolite	270.0	-45.0	2.730e+02	7	LP-X	g	tr245g	tr245	pmagpy-4.2.26	tr245g	u	0.0010680000	2.730e+02
