tab 	samples
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	location	lon	method_codes	result_type	sample	site	software_packages	specimens
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	4.9700000000000015e-05	5.88e-07	1.18	4.0	32.585	Not Specified	Tel Megiddo	35.185	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	mgf10a	mgf10	thellier_gui.v.2.29:pmagpy-3.3.2	mgf10a01:mgf10a02:mgf10a03:mgf10a05
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;mgf10a, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	4.9700000000000015e-05	5.88e-07	1.18	4.0	32.585	Not Specified	Tel Megiddo	35.185	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	mgf10a	mgf10	thellier_gui.v.2.29:pmagpy-3.3.2	mgf10a01:mgf10a02:mgf10a03:mgf10a05
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	5e-05	2.83e-06	5.66	5.0	32.585	Not Specified	Tel Megiddo	35.185	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	mgf10b	mgf10	thellier_gui.v.2.29:pmagpy-3.3.2	mgf10b01:mgf10b03:mgf10b05:mgf10b06:mgf10b08
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;mgf10b, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	5e-05	2.83e-06	5.66	5.0	32.585	Not Specified	Tel Megiddo	35.185	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	mgf10b	mgf10	thellier_gui.v.2.29:pmagpy-3.3.2	mgf10b01:mgf10b03:mgf10b05:mgf10b06:mgf10b08
	This study	438000000000				Archeologic	Mixed Archeological Objects					32.585	Not Specified	Tel Megiddo	35.185		i	mgf10c	mgf10		
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	5.22e-05	2.26e-06	4.34	4.0	32.585	Not Specified	Tel Megiddo	35.185	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	mgf10d	mgf10	thellier_gui.v.2.29:pmagpy-3.3.2	mgf10d01:mgf10d03:mgf10d04:mgf10d05
	This study	438000000000	ACCEPT	Paleointensity;V[A]DM;mgf10d, Paleointensity; V[A]DM		Archeologic	Mixed Archeological Objects	5.22e-05	2.26e-06	4.34	4.0	32.585	Not Specified	Tel Megiddo	35.185	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	mgf10d	mgf10	thellier_gui.v.2.29:pmagpy-3.3.2	mgf10d01:mgf10d03:mgf10d04:mgf10d05
	This study	438000000000				Archeologic	Mixed Archeological Objects					32.585	Not Specified	Tel Megiddo	35.185		i	mgf10e	mgf10		
	This study	438000000000				Archeologic	Mixed Archeological Objects					32.585	Not Specified	Tel Megiddo	35.185		i	mgf13a	mgf13		
	This study	438000000000		paleointensity mean		Archeologic	Mixed Archeological Objects	3.84e-05	1.77e-06	4.61	7.0	32.585	Not Specified	Tel Megiddo	35.185	IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	mgf13b	mgf13	thellier_gui.v.2.29:pmagpy-3.3.2	mgf13b01:mgf13b02:mgf13b03:mgf13b10:mgf13b11:mgf13b13:mgf13b14
