tab	samples
sample	site
ak01a	ak01
ak01b	ak01
ak01c	ak01
ak01d	ak01
ak03a	ak03
ak03b	ak03
ak03c	ak03
ak04a	ak04
ak04b	ak04
ak04c	ak04
ak04d	ak04
cb01a	cb01
cb01b	cb01
cb01c	cb01
cb02a	cb02
cb02c	cb02
cb05a	cb05
cb05b	cb05
cb06a	cb06
cb06b	cb06
cb09a	cb09
cb09b	cb09
cb09w	cb09
cb09x	cb09
cb11a	cb11
cb11b	cb11
cb12a	cb12
cb12b	cb12
cb12w	cb12
cb12x	cb12
