tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_chi_volume	measurement_date	measurement_description	measurement_flag	measurement_lab_field_ac	measurement_number	measurement_standard	measurement_temp
	This study		nw002a1	nw002a1	nw002a1	nw002a1:LP-AN-MS	SIO-KLY4S	LP-X	4.453E-4	2007:06:18:22:26	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw002a2	nw002a2	nw002a2	nw002a2:LP-AN-MS	SIO-KLY4S	LP-X	4.277E-4	2007:06:18:22:29	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw002a3	nw002a3	nw002a3	nw002a3:LP-AN-MS	SIO-KLY4S	LP-X	4.787E-4	2007:06:18:22:32	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw002a4	nw002a4	nw002a4	nw002a4:LP-AN-MS	SIO-KLY4S	LP-X	4.964E-4	2007:06:18:22:35	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw003a1	nw003a1	nw003a1	nw003a1:LP-AN-MS	SIO-KLY4S	LP-X	5.361E-4	2007:06:18:22:37	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw003a2	nw003a2	nw003a2	nw003a2:LP-AN-MS	SIO-KLY4S	LP-X	4.842E-4	2007:06:18:22:40	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw003a3	nw003a3	nw003a3	nw003a3:LP-AN-MS	SIO-KLY4S	LP-X	5.154E-4	2007:06:18:22:43	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw003a3	nw003a3	nw003a3	nw003a3:LP-AN-MS	SIO-KLY4S	LP-X	5.139E-4	2007:06:18:22:45	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw003a4	nw003a4	nw003a4	nw003a4:LP-AN-MS	SIO-KLY4S	LP-X	5.254E-4	2007:06:18:22:48	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw003a5	nw003a5	nw003a5	nw003a5:LP-AN-MS	SIO-KLY4S	LP-X	4.768E-4	2007:06:18:22:50	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw004a1	nw004a1	nw004a1	nw004a1:LP-AN-MS	SIO-KLY4S	LP-X	4.905E-4	2007:06:18:22:53	Bulk measurement	g	3.770e-04	1	u	300
	This study		nw004a2	nw004a2	nw004a2	nw004a2:LP-AN-MS	SIO-KLY4S	LP-X	4.993E-4	2007:06:18:22:55	Bulk measurement	g	3.770e-04	1	u	300
