tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az	magic_method_codes
hz05a	g						33.0168	35.568					
hz05b	g						33.0168	35.568					
hz05c	g						33.0168	35.568					
hz05e	g						33.0168	35.568					
hz05f	g						33.0168	35.568					
hz05g	g						33.0168	35.568					
hz05h	g						33.017	35.568					
hz06a	g						33.0168	35.568					
hz06b	g						33.0168	35.568					
hz06c	g						33.0168	35.568					
hz07a	g						33.0168	35.568					
hz07b	g						33.0168	35.568					
hz07c	g						33.0168	35.568					
hz07d	g						33.0168	35.568					
hz07e	g						33.0168	35.568					
hz09a	g						33.0168	35.568					
hz09b	g						33.017	35.568					
hz10a	g						33.017	35.568					
hz10b	g						33.0168	35.568					
hz10c	g						33.0168	35.568					
hz10d	g						33.0168	35.568					
hz11a	g						33.0168	35.568					
hz11b	g						33.0168	35.568					
hz11c	g						33.0168	35.568					
hz13a	g						33.0168	35.568					
hz13b	g						33.0168	35.568					
hz13c	g						33.017	35.568					
hz13d	g						33.017	35.568					
hz13e	g						33.0168	35.568					
hz13f	g						33.0168	35.568					
hz15a	g						33.0168	35.568					
hz15b	g						33.0168	35.568					
hz15c	g						33.0168	35.568					
hz18a	g						33.0168	35.568					
hz18b	g						33.017	35.568					
hz18c	g						33.017	35.568					
hz18d	g						33.0168	35.568					
hz18e	g						33.0168	35.568					
hz18f	g						33.017	35.568					
hz20a	g						33.017	35.568					
hz20b	g						33.0168	35.568					
hz20c	g						33.0168	35.568					
hz20d	g						33.017	35.568					
hz20e	g						33.0168	35.568					
hz20f	g						33.0168	35.568					
mgf10a	g						32.585	35.185					
mgf10b	g						32.585	35.185					
mgf10c	g						32.585	35.185					
mgf10d	g						32.585	35.185					
mgf10e	g						32.585	35.185					
mgf13a	g						32.585	35.185					
mgf13b	g						32.585	35.185					
mgf13c	g						32.585	35.185					
mgf13d	g						32.585	35.185					
mgf13e	g						32.585	35.185					
mgf13f	g						32.585	35.185					
mgh03a	g						32.585	35.185					
mgh03b	g						32.585	35.185					
mgh03c	g						32.585	35.185					
mgh03d	g						32.585	35.185					
mgh03e	g						32.585	35.185					
mgh03f	g						32.585	35.185					
mgh03g	g						32.585	35.185					
mgh03h	g						32.585	35.185					
mgh03i	g						32.585	35.185					
mgh03j	g						32.585	35.185					
mgh03k	g						32.585	35.185					
mgh05a	g						32.585	35.185					
mgh05b	g						32.585	35.185					
mgh05c	g						32.585	35.185					
mgh05d	g						32.585	35.185					
mgh05e	g						32.585	35.185					
mgh05f	g						32.585	35.185					
mgh07a	g						32.585	35.185					
mgh07b	g						32.585	35.185					
mgh07c	g						32.585	35.185					
mgh07d	g						32.585	35.185					
mgh07e	g						32.585	35.185					
mgh09b	g						32.585	35.185					
mgh09c	g						32.585	35.185					
mgh09e	g						32.585	35.185					
mgh09f	g						32.585	35.185					
mgh09g	g						32.585	35.185					
mgh09h	g						32.585	35.185					
mgh09i	g						32.585	35.185					
mgh09j	g						32.585	35.185					
mgh09k	g						32.585	35.185					
mgh09l	g						32.585	35.185					
mgh09m	g						32.585	35.185					
mgh09n	g						32.585	35.185					
mgh09o	g						32.585	35.185					
mgh09p	g						32.585	35.185					
mgh09q	g						32.585	35.185					
mgh12t101	g						32.585	35.185					
mgh12t102	g						32.585	35.185					
mgh12t1PI	g						32.585	35.185					
mgh12t1a1	g						32.585	35.185					
mgh12t1b1	g						32.585	35.185					
mgh12t1c1	g						32.585	35.185					
mgh12t1d1	g						32.585	35.185					
mgh12t1e1	g						32.585	35.185					
mgh12t1f1	g						32.585	35.185					
mgh12t1g1	g						32.585	35.185					
mgh12t1h1	g						32.585	35.185					
mgh12t1i1	g						32.585	35.185					
mgh12t1i2	g						32.585	35.185					
mgj04a	g						32.585	35.185					
mgj04b	g						32.585	35.185					
mgj04c	g						32.585	35.185					
mgj04d	g						32.585	35.185					
mgj04e	g						32.585	35.185					
mgj06a	g						32.585	35.185					
mgj06b	g						32.585	35.185					
mgj06c	g						32.585	35.185					
mgj06d	g						32.585	35.185					
mgk06a	g						32.585	35.185					
mgk06b	g						32.585	35.185					
mgk06c	g						32.585	35.185					
mgk06d	g						32.585	35.185					
mgk08a	g						32.585	35.185					
mgk08b	g						32.585	35.185					
mgk08c	g						32.585	35.185					
mgk08d	g						32.585	35.185					
mgk08e	g						32.585	35.185					
mgk09t1PI	g						32.585	35.185					
mgk09t1a1	g						32.585	35.185					
mgk09t1a2	g						32.585	35.185					
mgk09t1b1	g						32.585	35.185					
mgk09t1b2	g						32.585	35.185					
mgk09t1c1	g						32.585	35.185					
mgk09t1c2	g						32.585	35.185					
mgk09t1d1	g						32.585	35.185					
mgk09t1d2	g						32.585	35.185					
mgq04t101	g						32.585	35.185					
mgq04t102	g						32.585	35.185					
mgq04t103	g						32.585	35.185					
mgq04t104	g						32.585	35.185					
mgq04t105	g						32.585	35.185					
mgq04t106	g						32.585	35.185					
mgq04t107	g						32.585	35.185					
mgq04t108	g						32.585	35.185					
mgq04t109	g						32.585	35.185					
mgq04t110	g						32.585	35.185					
mgq04t111	g						32.585	35.185					
mgq04t112	g						32.585	35.185					
mgq04t1PI	g						32.585	35.185					
mgq05t101	g						32.585	35.185					
mgq05t102	g						32.585	35.185					
mgq05t103	g						32.585	35.185					
mgq05t104	g						32.585	35.185					
mgq05t105	g						32.585	35.185					
mgq05t106	g						32.585	35.185					
mgq05t107	g						32.585	35.185					
mgq05t108	g						32.585	35.185					
mgq05t109	g						32.585	35.185					
mgq05t111	g						32.585	35.185					
mgq05t112	g						32.585	35.185					
mgq05t1PI	g						32.585	35.185					
mgq05t2PI	g						32.585	35.185					
mgq05t2a1	g						32.585	35.185					
mgq05t2a2	g						32.585	35.185					
mgq05t2b1	g						32.585	35.185					
mgq05t2b2	g						32.585	35.185					
mgq05t2c2	g						32.585	35.185					
mgq05t2d1	g						32.585	35.185					
mgq05t2d2	g						32.585	35.185					
mgq05t2e1	g						32.585	35.185					
mgq05t2e2	g						32.585	35.185					
mgq05t2f1	g						32.585	35.185					
mgq05t2f2	g						32.585	35.185					
