name	row_number	problem_type	problem_col	error_message
mgh12t1	18	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgh12t1	19	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgk09t1	26	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgk09t1	27	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgq04t1	30	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgq04t1	31	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgq05t1	34	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgq05t1	35	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgq05t2	37	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
mgq05t2	38	value	criteria	This value: "ACCEPT" is not found in: criterion column in criteria table
