-I- Start auto interpreter
-I- using paleointenisty statistics:
acceptance criteria:
average_by_sample_or_site	interpreter_method	include_nrm	average_by_sample_or_site	interpreter_method	include_nrm
sample	stdev_opt	True	sample	stdev_opt	True
---------------------------------
-I- Found 26 specimens
-I- doing now specimen ATPIPV04-1A
-I- specimen ATPIPV04-1A (0-400) PASS
-I- specimen ATPIPV04-1A (0-500) PASS
-I- specimen ATPIPV04-1A (0-520) PASS
-I- specimen ATPIPV04-1A (0-540) PASS
-I- specimen ATPIPV04-1A (0-560) PASS
-I- specimen ATPIPV04-1A (0-580) PASS
-I- specimen ATPIPV04-1A (0-600) PASS
-I- specimen ATPIPV04-1A (0-620) PASS
-I- specimen ATPIPV04-1A (0-640) PASS
-I- specimen ATPIPV04-1A (0-660) PASS
-I- specimen ATPIPV04-1A (0-500) PASS
-I- specimen ATPIPV04-1A (0-520) PASS
-I- specimen ATPIPV04-1A (0-540) PASS
-I- specimen ATPIPV04-1A (0-560) PASS
-I- specimen ATPIPV04-1A (0-580) PASS
-I- specimen ATPIPV04-1A (0-600) PASS
-I- specimen ATPIPV04-1A (0-620) PASS
-I- specimen ATPIPV04-1A (0-640) PASS
-I- specimen ATPIPV04-1A (0-660) PASS
-I- specimen ATPIPV04-1A (400-520) PASS
-I- specimen ATPIPV04-1A (400-540) PASS
-I- specimen ATPIPV04-1A (400-560) PASS
-I- specimen ATPIPV04-1A (400-580) PASS
-I- specimen ATPIPV04-1A (400-600) PASS
-I- specimen ATPIPV04-1A (400-620) PASS
-I- specimen ATPIPV04-1A (400-640) PASS
-I- specimen ATPIPV04-1A (400-660) PASS
-I- specimen ATPIPV04-1A (500-540) PASS
-I- specimen ATPIPV04-1A (500-560) PASS
-I- specimen ATPIPV04-1A (500-580) PASS
-I- specimen ATPIPV04-1A (500-600) PASS
-I- specimen ATPIPV04-1A (500-620) PASS
-I- specimen ATPIPV04-1A (500-640) PASS
-I- specimen ATPIPV04-1A (500-660) PASS
-I- specimen ATPIPV04-1A (520-560) PASS
-I- specimen ATPIPV04-1A (520-580) PASS
-I- specimen ATPIPV04-1A (520-600) PASS
-I- specimen ATPIPV04-1A (520-620) PASS
-I- specimen ATPIPV04-1A (520-640) PASS
-I- specimen ATPIPV04-1A (520-660) PASS
-I- specimen ATPIPV04-1A (540-580) PASS
-I- specimen ATPIPV04-1A (540-600) PASS
-I- specimen ATPIPV04-1A (540-620) PASS
-I- specimen ATPIPV04-1A (540-640) PASS
-I- specimen ATPIPV04-1A (540-660) PASS
-I- specimen ATPIPV04-1A (560-600) PASS
