time point,1 A(3) + 1 B(6) --> 1 C(8),1 B(6) --> 1 A(3) + 3 D*(1),1 D*(1) --> 1 B(6)-i,2 A(3) + 2 D*(1) --> 1 C(8)
19784.1,0.168777756445,0.976788903647,37.1037047084,0.296901562033
19784.6,0.168859245939,0.977260518127,37.121619167,0.297044912429
19785.0,0.168071896148,0.972703788875,36.948530042,0.295659863901
19785.1,0.167828879467,0.971297347633,36.8951058269,0.295232366619
19785.6,0.166609659045,0.964241198744,36.6270752793,0.293087602669
19786.0,0.165852663578,0.959860142919,36.4606591774,0.291755951262
19786.1,0.165716592858,0.959072643597,36.4307457108,0.291516585543
19786.6,0.165439244571,0.957467510698,36.3697741161,0.291028694594
19787.0,0.165753761674,0.959287755393,36.4389168157,0.291581970221
19787.1,0.165909794076,0.960190781491,36.4732186117,0.291856451082
19787.6,0.167143067678,0.967328262135,36.7443385774,0.294025936366
19788.0,0.16863782683,0.975979071251,37.0729429112,0.296655408026
19788.1,0.16907564457,0.97851290935,37.1691917325,0.297425585171
19788.6,0.171605355399,0.993153425493,37.7253174069,0.301875668598
19789.0,0.173987076803,1.00693746367,38.2489094342,0.306065419783
19789.1,0.174625859325,1.01063437073,38.3893378803,0.307189119568
19789.6,0.178049531823,1.03044862455,39.1419899835,0.313211795386
19790.0,0.18103663229,1.04773624972,39.7986671191,0.318466485419
19790.1,0.181815042376,1.05224124108,39.9697909604,0.319835807868
19790.6,0.185888142919,1.07581401215,40.8652117965,0.327000910302
19791.0,0.189360701541,1.09591119083,41.6286109101,0.333109583035
19791.1,0.190258749106,1.10110857534,41.8260355731,0.334689363042
19791.6,0.19493284469,1.12815956119,42.8535777444,0.34291169227
19792.0,0.198899239027,1.15111477791,43.7255405394,0.349889084902
19792.1,0.19992315402,1.15704061093,43.9506356013,0.351690281737
19792.6,0.205237782368,1.18779863324,45.1189909878,0.36103938965
19793.0,0.209718173545,1.21372856902,46.1039496382,0.368920968164
19793.1,0.201800851983,1.16790765037,44.3634243019,0.35499339152
19793.6,0.176196785057,1.01972598834,38.7346864954,0.309952577937
19794.0,0.166908524856,0.965970862734,36.6927772357,0.293613345682
19794.1,0.165596637918,0.958378413168,36.4043750992,0.291305569531
19794.6,0.163064390942,0.943723219262,35.8476918843,0.286851024699
19795.0,0.164261102727,0.950649101067,36.1107741863,0.288956193092
19795.1,0.164560888982,0.952384092061,36.176678491,0.289483555283
19795.6,0.165554650569,0.958135414456,36.395144699,0.291231708437
19796.0,0.166095702485,0.961266712792,36.5140882787,0.292183487643
19796.1,0.166221385923,0.961994096485,36.5417182299,0.292404580812
19796.6,0.166864194401,0.965714303472,36.6830317327,0.293535362767
19797.0,0.167453776143,0.969126464623,36.8126439952,0.294572512116
19797.1,0.169152892061,0.978959973546,37.1861736391,0.297561473343
19797.6,0.174028505698,1.00717723037,38.258017065,0.306138298484
19798.0,0.174737327721,1.01127948591,38.4138428299,0.307385206667
19798.1,0.174602621168,1.0104998816,38.3842292585,0.307148240691
19798.6,0.172727300989,0.999646603417,37.9719632844,0.303849313734
19799.0,0.170493128615,0.98671649444,37.4808080885,0.299919120078
19799.1,0.169918747922,0.983392308248,37.3545375889,0.298908711309
19799.6,0.167343526722,0.968488404171,36.7884070219,0.294378569347
19800.0,0.165952099976,0.960435623791,36.4825190412,0.291930872547
19800.1,0.167388449864,0.968748393567,36.7982828198,0.294457594874
19800.6,0.171037885595,0.989869235562,37.6005661807,0.300877416963
19801.0,0.171082351184,0.990126576905,37.6103413913,0.300955637596
