tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az	magic_method_codes	site_name
mc109a	g													mc109
mc109c	g													mc109
mc109d	g													mc109
mc109e	g													mc109
mc109i	g													mc109
mc10a	g													mc10
mc10b	g													mc10
mc10c	g													mc10
mc10d	g													mc10
mc10e	g													mc10
mc10f	g													mc10
mc10g	g													mc10
mc10h	g													mc10
mc110a	g													mc110
mc110b	g													mc110
mc110d	g													mc110
mc110g	g													mc110
mc110i	g													mc110
mc111a	g													mc111
mc111b	g													mc111
mc111d	g													mc111
mc111e	g													mc111
mc111f	g													mc111
mc111l	g													mc111
mc112a	g													mc112
mc112b	g													mc112
mc112c	g													mc112
mc112d	g													mc112
mc112g	g													mc112
mc112h	g													mc112
mc112j	g													mc112
mc113a	g													mc113
mc113b	g													mc113
mc113c	g													mc113
mc113e	g													mc113
mc113f	g													mc113
mc113g	g													mc113
mc113h	g													mc113
mc113j	g													mc113
mc113m	g													mc113
mc114a	g													mc114
mc114b	g													mc114
mc114c	g													mc114
mc114d	g													mc114
mc114e	g													mc114
mc114i	g													mc114
mc115a	g													mc115
mc115b	g													mc115
mc115e	g													mc115
mc115g	g													mc115
mc115h	g													mc115
mc116a	g													mc116
mc116b	g													mc116
mc116c	g													mc116
mc116i	g													mc116
mc116j	g													mc116
mc117a	g													mc117
mc117b	g													mc117
mc117d	g													mc117
mc117e	g													mc117
mc117h	g													mc117
mc118a	g													mc118
mc118c	g													mc118
mc118d	g													mc118
mc118e	g													mc118
mc118f	g													mc118
mc118i	g													mc118
mc118l	g													mc118
mc119a	g													mc119
mc119b	g													mc119
mc119d	g													mc119
mc119e	g													mc119
mc119f	g													mc119
mc11a	g													mc11
mc11b	g													mc11
mc11c	g													mc11
mc11d	g													mc11
mc11e	g													mc11
mc11f	g													mc11
mc11g	g													mc11
mc11h	g													mc11
mc120a	g													mc120
mc120b	g													mc120
mc120c	g													mc120
mc120f	g													mc120
mc120j	g													mc120
mc120l	g													mc120
mc120m	g													mc120
mc121a	g													mc121
mc121c	g													mc121
mc121d	g													mc121
mc121e	g													mc121
mc121f	g													mc121
mc121g	g													mc121
mc121i	g													mc121
mc121k	g													mc121
mc122a	g													mc122
mc122b	g													mc122
mc122c	g													mc122
mc122d	g													mc122
mc122f	g													mc122
mc122g	g													mc122
mc122k	g													mc122
mc122l	g													mc122
mc123a	g													mc123
mc123b	g													mc123
mc123c	g													mc123
mc123f	g													mc123
mc123j	g													mc123
mc124a	g													mc124
mc124d	g													mc124
mc124f	g													mc124
mc124g	g													mc124
mc124h	g													mc124
mc124j	g													mc124
mc124l	g													mc124
mc125a	g													mc125
mc125b	g													mc125
mc125c	g													mc125
mc125d	g													mc125
mc125e	g													mc125
mc125g	g													mc125
mc125i	g													mc125
mc125m	g													mc125
mc126a	g													mc126
mc126c	g													mc126
mc126d	g													mc126
mc126e	g													mc126
mc126f	g													mc126
mc126g	g													mc126
mc126i	g													mc126
mc127a	g													mc127
mc127b	g													mc127
mc127c	g													mc127
mc127d	g													mc127
mc127f	g													mc127
mc127g	g													mc127
mc127i	g													mc127
mc128b	g													mc128
mc128c	g													mc128
mc128d	g													mc128
mc128e	g													mc128
mc128f	g													mc128
mc128h	g													mc128
mc128j	g													mc128
mc129a	g													mc129
mc129b	g													mc129
mc129c	g													mc129
mc129f	g													mc129
mc129h	g													mc129
mc129j	g													mc129
mc129l	g													mc129
mc130a	g													mc130
mc130b	g													mc130
mc130d	g													mc130
mc130e	g													mc130
mc130g	g													mc130
mc130h	g													mc130
mc130i	g													mc130
mc130j	g													mc130
mc131a	g													mc131
mc131b	g													mc131
mc131c	g													mc131
mc131d	g													mc131
mc131e	g													mc131
mc131f	g													mc131
mc131g	g													mc131
mc131k	g													mc131
mc132a	g													mc132
mc132c	g													mc132
mc132d	g													mc132
mc132e	g													mc132
mc132f	g													mc132
mc132g	g													mc132
mc132h	g													mc132
mc132i	g													mc132
mc132j	g													mc132
mc132k	g													mc132
mc132l	g													mc132
mc133b	g													mc133
mc133d	g													mc133
mc133f	g													mc133
mc133g	g													mc133
mc133h	g													mc133
mc133j	g													mc133
mc133l	g													mc133
mc134a	g													mc134
mc134c	g													mc134
mc134e	g													mc134
mc134f	g													mc134
mc134k	g													mc134
mc135a	g													mc135
mc135b	g													mc135
mc135c	g													mc135
mc135d	g													mc135
mc135e	g													mc135
mc135h	g													mc135
mc135i	g													mc135
mc136a	g													mc136
mc136c	g													mc136
mc136d	g													mc136
mc136e	g													mc136
mc136g	g													mc136
mc136h	g													mc136
mc136i	g													mc136
mc137a	g													mc137
mc137d	g													mc137
mc137h	g													mc137
mc137j	g													mc137
mc137l	g													mc137
mc138a	g													mc138
mc138b	g													mc138
mc138d	g													mc138
mc138g	g													mc138
mc138h	g													mc138
mc139a	g													mc139
mc139c	g													mc139
mc139d	g													mc139
mc139e	g													mc139
mc139h	g													mc139
mc139j	g													mc139
mc13a	g													mc13
mc13b	g													mc13
mc13c	g													mc13
mc13d	g													mc13
mc13e	g													mc13
mc13f	g													mc13
mc13g	g													mc13
mc13h	g													mc13
mc140a	g													mc140
mc140b	g													mc140
mc140c	g													mc140
mc140d	g													mc140
mc140e	g													mc140
mc140g	g													mc140
mc140h	g													mc140
mc140j	g													mc140
mc141b	g													mc141
mc141c	g													mc141
mc141g	g													mc141
mc141h	g													mc141
mc141k	g													mc141
mc141l	g													mc141
mc142b	g													mc142
mc142c	g													mc142
mc142d	g													mc142
mc142e	g													mc142
mc142f	g													mc142
mc142i	g													mc142
mc142k	g													mc142
mc143a	g													mc143
mc143b	g													mc143
mc143c	g													mc143
mc143d	g													mc143
mc143g	g													mc143
mc143h	g													mc143
mc143i	g													mc143
mc144a	g													mc144
mc144b	g													mc144
mc144d	g													mc144
mc144e	g													mc144
mc144f	g													mc144
mc144h	g													mc144
mc144j	g													mc144
mc144k	g													mc144
mc145b	g													mc145
mc145c	g													mc145
mc145f	g													mc145
mc145i	g													mc145
mc145j	g													mc145
mc145k	g													mc145
mc145l	g													mc145
mc146a	g													mc146
mc146d	g													mc146
mc146e	g													mc146
mc146f	g													mc146
mc146h	g													mc146
mc146i	g													mc146
mc146j	g													mc146
mc146k	g													mc146
mc147a	g													mc147
mc147c	g													mc147
mc147i	g													mc147
mc147j	g													mc147
mc147k	g													mc147
mc148a	g													mc148
mc148b	g													mc148
mc148c	g													mc148
mc148d	g													mc148
mc148f	g													mc148
mc148i	g													mc148
mc148j	g													mc148
mc148k	g													mc148
mc149a	g													mc149
mc149b	g													mc149
mc149d	g													mc149
mc149e	g													mc149
mc149g	g													mc149
mc14a	g													mc14
mc14b	g													mc14
mc14c	g													mc14
mc14d	g													mc14
mc14e	g													mc14
mc14f	g													mc14
mc14g	g													mc14
mc14h	g													mc14
mc150b	g													mc150
mc150c	g													mc150
mc150e	g													mc150
mc150f	g													mc150
mc150g	g													mc150
mc152a	g													mc152
mc152b	g													mc152
mc152c	g													mc152
mc152e	g													mc152
mc152g	g													mc152
mc152i	g													mc152
mc152k	g													mc152
mc153a	g													mc153
mc153c	g													mc153
mc153e	g													mc153
mc153i	g													mc153
mc153j	g													mc153
mc153m	g													mc153
mc154a	g													mc154
mc154b	g													mc154
mc154e	g													mc154
mc154f	g													mc154
mc154h	g													mc154
mc154j	g													mc154
mc155a	g													mc155
mc155b	g													mc155
mc155c	g													mc155
mc155e	g													mc155
mc155g	g													mc155
mc155h	g													mc155
mc155i	g													mc155
mc155m	g													mc155
mc156a	g													mc156
mc156b	g													mc156
mc156c	g													mc156
mc156f	g													mc156
mc156g	g													mc156
mc156h	g													mc156
mc156i	g													mc156
mc157a	g													mc157
mc157b	g													mc157
mc157c	g													mc157
mc157e	g													mc157
mc157f	g													mc157
mc157j	g													mc157
mc157k	g													mc157
mc158a	g													mc158
mc158b	g													mc158
mc158c	g													mc158
mc158d	g													mc158
mc158f	g													mc158
mc158h	g													mc158
mc15a	g													mc15
mc15b	g													mc15
mc15c	g													mc15
mc15d	g													mc15
mc15e	g													mc15
mc15f	g													mc15
mc15g	g													mc15
mc15h	g													mc15
mc160a	g													mc160
mc160b	g													mc160
mc160c	g													mc160
mc160e	g													mc160
mc160f	g													mc160
mc160h	g													mc160
mc160j	g													mc160
mc161a	g													mc161
mc161b	g													mc161
mc161e	g													mc161
mc161f	g													mc161
mc161g	g													mc161
mc161j	g													mc161
mc161k	g													mc161
mc162b	g													mc162
mc162c	g													mc162
mc162f	g													mc162
mc162g	g													mc162
mc162i	g													mc162
mc162j	g													mc162
mc163a	g													mc163
mc163b	g													mc163
mc163c	g													mc163
mc163d	g													mc163
mc163e	g													mc163
mc163f	g													mc163
mc163h	g													mc163
mc164a	g													mc164
mc164b	g													mc164
mc164c	g													mc164
mc164f	g													mc164
mc164g	g													mc164
mc164h	g													mc164
mc164i	g													mc164
mc164j	g													mc164
mc164l	g													mc164
mc165a	g													mc165
mc165b	g													mc165
mc165c	g													mc165
mc165g	g													mc165
mc165h	g													mc165
mc165i	g													mc165
mc166a	g													mc166
mc166b	g													mc166
mc166c	g													mc166
mc166h	g													mc166
mc166i	g													mc166
mc167a	g													mc167
mc167b	g													mc167
mc167d	g													mc167
mc167e	g													mc167
mc167f	g													mc167
mc167h	g													mc167
mc167j	g													mc167
mc167k	g													mc167
mc168a	g													mc168
mc168c	g													mc168
mc168d	g													mc168
mc168f	g													mc168
mc168h	g													mc168
mc168i	g													mc168
mc168j	g													mc168
mc168k	g													mc168
mc170a	g													mc170
mc170c	g													mc170
mc170d	g													mc170
mc170e	g													mc170
mc170f	g													mc170
mc19a	g													mc19
mc19b	g													mc19
mc19c	g													mc19
mc19d	g													mc19
mc19e	g													mc19
mc19f	g													mc19
mc19g	g													mc19
mc200a	g													mc200
mc200b	g													mc200
mc200c	g													mc200
mc200d	g													mc200
mc200h	g													mc200
mc200i	g													mc200
mc201a	g													mc201
mc201b	g													mc201
mc201c	g													mc201
mc201d	g													mc201
mc201e	g													mc201
mc201j	g													mc201
mc202a	g													mc202
mc202b	g													mc202
mc202c	g													mc202
mc202d	g													mc202
mc202f	g													mc202
mc202h	g													mc202
mc202j	g													mc202
mc203a	g													mc203
mc203b	g													mc203
mc203c	g													mc203
mc203d	g													mc203
mc203g	g													mc203
mc203h	g													mc203
mc204a	g													mc204
mc204b	g													mc204
mc204c	g													mc204
mc204h	g													mc204
mc204k	g													mc204
mc204l	g													mc204
mc205a	g													mc205
mc205b	g													mc205
mc205c	g													mc205
mc205d	g													mc205
mc205e	g													mc205
mc205h	g													mc205
mc205i	g													mc205
mc205k	g													mc205
mc206a	g													mc206
mc206b	g													mc206
mc206c	g													mc206
mc206d	g													mc206
mc206e	g													mc206
mc206f	g													mc206
mc206g	g													mc206
mc206h	g													mc206
mc206i	g													mc206
mc206k	g													mc206
mc207a	g													mc207
mc207b	g													mc207
mc207d	g													mc207
mc207g	g													mc207
mc207h	g													mc207
mc207k	g													mc207
mc208a	g													mc208
mc208b	g													mc208
mc208c	g													mc208
mc208d	g													mc208
mc208e	g													mc208
mc208f	g													mc208
mc209a	g													mc209
mc209b	g													mc209
mc209c	g													mc209
mc209e	g													mc209
mc209f	g													mc209
mc20a	g													mc20
mc20b	g													mc20
mc20c	g													mc20
mc20d	g													mc20
mc20e	g													mc20
mc20f	g													mc20
mc20h	g													mc20
mc210a	g													mc210
mc210b	g													mc210
mc210c	g													mc210
mc210e	g													mc210
mc210i	g													mc210
mc211a	g													mc211
mc211b	g													mc211
mc211e	g													mc211
mc211g	g													mc211
mc211h	g													mc211
mc211i	g													mc211
mc212a	g													mc212
mc212b	g													mc212
mc212c	g													mc212
mc212d	g													mc212
mc212g	g													mc212
mc213b	g													mc213
mc213e	g													mc213
mc213f	g													mc213
mc213g	g													mc213
mc213h	g													mc213
mc213i	g													mc213
mc214a	g													mc214
mc214b	g													mc214
mc214d	g													mc214
mc214g	g													mc214
mc214h	g													mc214
mc214j	g													mc214
mc215a	g													mc215
mc215b	g													mc215
mc215c	g													mc215
mc215d	g													mc215
mc215h	g													mc215
mc215i	g													mc215
mc216a	g													mc216
mc216b	g													mc216
mc216c	g													mc216
mc216f	g													mc216
mc216g	g													mc216
mc216h	g													mc216
mc217a	g													mc217
mc217b	g													mc217
mc217c	g													mc217
mc217d	g													mc217
mc217e	g													mc217
mc218a	g													mc218
mc218b	g													mc218
mc218d	g													mc218
mc218i	g													mc218
mc218j	g													mc218
mc219a	g													mc219
mc219b	g													mc219
mc219c	g													mc219
mc219d	g													mc219
mc219e	g													mc219
mc21a	g													mc21
mc21b	g													mc21
mc21c	g													mc21
mc21d	g													mc21
mc21e	g													mc21
mc21f	g													mc21
mc21g	g													mc21
mc21h	g													mc21
mc220a	g													mc220
mc220b	g													mc220
mc220c	g													mc220
mc220d	g													mc220
mc220e	g													mc220
mc220f	g													mc220
mc221b	g													mc221
mc221c	g													mc221
mc221d	g													mc221
mc221h	g													mc221
mc221i	g													mc221
mc221j	g													mc221
mc222a	g													mc222
mc222b	g													mc222
mc222c	g													mc222
mc222e	g													mc222
mc222h	g													mc222
mc222j	g													mc222
mc223a	g													mc223
mc223b	g													mc223
mc223c	g													mc223
mc223d	g													mc223
mc223e	g													mc223
mc223f	g													mc223
mc223g	g													mc223
mc223l	g													mc223
mc224a	g													mc224
mc224b	g													mc224
mc224c	g													mc224
mc224e	g													mc224
mc224f	g													mc224
mc225a	g													mc225
mc225b	g													mc225
mc225c	g													mc225
mc225d	g													mc225
mc225f	g													mc225
mc225g	g													mc225
mc225i	g													mc225
mc226a	g													mc226
mc226b	g													mc226
mc226d	g													mc226
mc226f	g													mc226
mc226g	g													mc226
mc227b	g													mc227
mc227c	g													mc227
mc227d	g													mc227
mc227f	g													mc227
mc227h	g													mc227
mc228a	g													mc228
mc228b	g													mc228
mc228d	g													mc228
mc228e	g													mc228
mc228g	g													mc228
mc229a	g													mc229
mc229b	g													mc229
mc229e	g													mc229
mc229g	g													mc229
mc229h	g													mc229
mc229i	g													mc229
mc229k	g													mc229
mc26a	g													mc26
mc26b	g													mc26
mc26c	g													mc26
mc26d	g													mc26
mc26e	g													mc26
mc26f	g													mc26
mc26g	g													mc26
mc26h	g													mc26
mc28a	g													mc28
mc28b	g													mc28
mc28c	g													mc28
mc28d	g													mc28
mc28e	g													mc28
mc28f	g													mc28
mc28g	g													mc28
mc28h	g													mc28
mc29a	g													mc29
mc29b	g													mc29
mc29c	g													mc29
mc29d	g													mc29
mc29e	g													mc29
mc29f	g													mc29
mc29g	g													mc29
mc29h	g													mc29
mc30a	g													mc30
mc30b	g													mc30
mc30c	g													mc30
mc30d	g													mc30
mc30e	g													mc30
mc30f	g													mc30
mc30g	g													mc30
mc30h	g													mc30
mc31b	g													mc31
mc31c	g													mc31
mc31d	g													mc31
mc31f	g													mc31
mc31h	g													mc31
mc32a	g													mc32
mc32b	g													mc32
mc32c	g													mc32
mc32d	g													mc32
mc32e	g													mc32
mc32f	g													mc32
mc32g	g													mc32
mc32h	g													mc32
mc33a	g													mc33
mc33b	g													mc33
mc33c	g													mc33
mc33d	g													mc33
mc33e	g													mc33
mc33f	g													mc33
mc33g	g													mc33
mc33h	g													mc33
mc34a	g													mc34
mc34b	g													mc34
mc34c	g													mc34
mc34d	g													mc34
mc34e	g													mc34
mc34f	g													mc34
mc34h	g													mc34
mc35a	g													mc35
mc35b	g													mc35
mc35c	g													mc35
mc35d	g													mc35
mc35e	g													mc35
mc35f	g													mc35
mc35g	g													mc35
mc35h	g													mc35
mc36a	g													mc36
mc36b	g													mc36
mc36c	g													mc36
mc36d	g													mc36
mc36e	g													mc36
mc36f	g													mc36
mc36g	g													mc36
mc36h	g													mc36
mc37a	g													mc37
mc37b	g													mc37
mc37c	g													mc37
mc37d	g													mc37
mc37e	g													mc37
mc37f	g													mc37
mc37g	g													mc37
mc37h	g													mc37
mc38a	g													mc38
mc38b	g													mc38
mc38c	g													mc38
mc38e	g													mc38
mc38f	g													mc38
mc38g	g													mc38
mc38h	g													mc38
mc39a	g													mc39
mc39b	g													mc39
mc39c	g													mc39
mc39d	g													mc39
mc39e	g													mc39
mc39f	g													mc39
mc39g	g													mc39
mc39h	g													mc39
mc40a	g													mc40
mc40b	g													mc40
mc40c	g													mc40
mc40e	g													mc40
mc40f	g													mc40
mc40g	g													mc40
mc40h	g													mc40
mc41a	g													mc41
mc41b	g													mc41
mc41c	g													mc41
mc41d	g													mc41
mc41e	g													mc41
mc41f	g													mc41
mc41h	g													mc41
mc42b	g													mc42
mc42c	g													mc42
mc42d	g													mc42
mc42f	g													mc42
mc42h	g													mc42
mc43a	g													mc43
mc43b	g													mc43
mc43c	g													mc43
mc43e	g													mc43
mc43f	g													mc43
mc43g	g													mc43
mc44a	g													mc44
mc44b	g													mc44
mc44c	g													mc44
mc44d	g													mc44
mc44e	g													mc44
mc44f	g													mc44
mc44g	g													mc44
mc44h	g													mc44
mc48a	g													mc48
mc48b	g													mc48
mc48c	g													mc48
mc48d	g													mc48
mc48e	g													mc48
mc48f	g													mc48
mc48g	g													mc48
mc48h	g													mc48
mc49a	g													mc49
mc49b	g													mc49
mc49c	g													mc49
mc49d	g													mc49
mc49e	g													mc49
mc49g	g													mc49
mc49h	g													mc49
mc50a	g													mc50
mc50b	g													mc50
mc50c	g													mc50
mc50d	g													mc50
mc50e	g													mc50
mc50f	g													mc50
mc50g	g													mc50
mc50h	g													mc50
