tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az	magic_method_codes	site_name
mc01a	g													mc01
mc01b	g													mc01
mc01c	g													mc01
mc01d	g													mc01
mc01e	g													mc01
mc01f	g													mc01
mc01g	g													mc01
mc01h	g													mc01
mc02a	g													mc02
mc02b	g													mc02
mc02c	g													mc02
mc02e	g													mc02
mc02f	g													mc02
mc02g	g													mc02
mc02h	g													mc02
mc03a	g													mc03
mc03b	g													mc03
mc03c	g													mc03
mc03d	g													mc03
mc03f	g													mc03
mc03h	g													mc03
mc04a	g													mc04
mc04b	g													mc04
mc04c	g													mc04
mc04e	g													mc04
mc04f	g													mc04
mc04g	g													mc04
mc04h	g													mc04
mc06a	g													mc06
mc06c	g													mc06
mc06d	g													mc06
mc06g	g													mc06
mc06h	g													mc06
mc07b	g													mc07
mc07c	g													mc07
mc07d	g													mc07
mc07e	g													mc07
mc07f	g													mc07
mc08a	g													mc08
mc08b	g													mc08
mc08c	g													mc08
mc08d	g													mc08
mc08e	g													mc08
mc08f	g													mc08
mc08g	g													mc08
mc08h	g													mc08
mc09a	g													mc09
mc09b	g													mc09
mc09c	g													mc09
mc09d	g													mc09
mc09e	g													mc09
mc09f	g													mc09
mc09g	g													mc09
mc09h	g													mc09
mc100a	g													mc100
mc100d	g													mc100
mc100e	g													mc100
mc100f	g													mc100
mc100g	g													mc100
mc100h	g													mc100
mc101a	g													mc101
mc101b	g													mc101
mc101c	g													mc101
mc101d	g													mc101
mc101f	g													mc101
mc101h	g													mc101
mc102a	g													mc102
mc102b	g													mc102
mc102e	g													mc102
mc102f	g													mc102
mc102g	g													mc102
mc102m	g													mc102
mc103a	g													mc103
mc103b	g													mc103
mc103c	g													mc103
mc103d	g													mc103
mc103e	g													mc103
mc104a	g													mc104
mc104b	g													mc104
mc104c	g													mc104
mc104d	g													mc104
mc104f	g													mc104
mc105a	g													mc105
mc105c	g													mc105
mc105d	g													mc105
mc105f	g													mc105
mc105g	g													mc105
mc105h	g													mc105
mc105j	g													mc105
mc106a	g													mc106
mc106b	g													mc106
mc106c	g													mc106
mc106d	g													mc106
mc106e	g													mc106
mc107c	g													mc107
mc107d	g													mc107
mc107e	g													mc107
mc107h	g													mc107
mc107k	g													mc107
mc107l	g													mc107
mc108a	g													mc108
mc108b	g													mc108
mc108c	g													mc108
mc108d	g													mc108
mc108g	g													mc108
mc108h	g													mc108
mc108k	g													mc108
