tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az
999-U999A-1H-1-A-0.0	g		0									
999-U999A-1H-1-A-10.0	g		0									
999-U999A-1H-1-A-100.0	g		0									
999-U999A-1H-1-A-102.0	g		0									
999-U999A-1H-1-A-102.5	g		0									
999-U999A-1H-1-A-105.0	g		0									
999-U999A-1H-1-A-107.5	g		0									
999-U999A-1H-1-A-110.0	g		0									
999-U999A-1H-1-A-112.5	g		0									
999-U999A-1H-1-A-115.0	g		0									
999-U999A-1H-1-A-117.5	g		0									
999-U999A-1H-1-A-12.0	g		0									
999-U999A-1H-1-A-12.5	g		0									
999-U999A-1H-1-A-120.0	g		0									
999-U999A-1H-1-A-122.5	g		0									
999-U999A-1H-1-A-125.0	g		0									
999-U999A-1H-1-A-127.5	g		0									
999-U999A-1H-1-A-130.0	g		0									
999-U999A-1H-1-A-132.5	g		0									
999-U999A-1H-1-A-135.0	g		0									
999-U999A-1H-1-A-137.5	g		0									
999-U999A-1H-1-A-14.0	g		0									
999-U999A-1H-1-A-140.0	g		0									
999-U999A-1H-1-A-142.5	g		0									
999-U999A-1H-1-A-145.0	g		0									
999-U999A-1H-1-A-147.5	g		0									
999-U999A-1H-1-A-15.0	g		0									
999-U999A-1H-1-A-150.0	g		0									
999-U999A-1H-1-A-16.0	g		0									
999-U999A-1H-1-A-17.5	g		0									
999-U999A-1H-1-A-18.0	g		0									
999-U999A-1H-1-A-2.0	g		0									
999-U999A-1H-1-A-2.5	g		0									
999-U999A-1H-1-A-20.0	g		0									
999-U999A-1H-1-A-22.0	g		0									
999-U999A-1H-1-A-22.5	g		0									
999-U999A-1H-1-A-24.0	g		0									
999-U999A-1H-1-A-25.0	g		0									
999-U999A-1H-1-A-26.0	g		0									
999-U999A-1H-1-A-27.5	g		0									
999-U999A-1H-1-A-28.0	g		0									
999-U999A-1H-1-A-30.0	g		0									
999-U999A-1H-1-A-32.0	g		0									
999-U999A-1H-1-A-32.5	g		0									
999-U999A-1H-1-A-34.0	g		0									
999-U999A-1H-1-A-35.0	g		0									
999-U999A-1H-1-A-36.0	g		0									
999-U999A-1H-1-A-37.5	g		0									
999-U999A-1H-1-A-38.0	g		0									
999-U999A-1H-1-A-4.0	g		0									
999-U999A-1H-1-A-40.0	g		0									
999-U999A-1H-1-A-42.0	g		0									
999-U999A-1H-1-A-42.5	g		0									
999-U999A-1H-1-A-44.0	g		0									
999-U999A-1H-1-A-45.0	g		0									
999-U999A-1H-1-A-46.0	g		0									
999-U999A-1H-1-A-47.5	g		0									
999-U999A-1H-1-A-48.0	g		0									
999-U999A-1H-1-A-5.0	g		0									
999-U999A-1H-1-A-50.0	g		0									
999-U999A-1H-1-A-52.0	g		0									
999-U999A-1H-1-A-52.5	g		0									
999-U999A-1H-1-A-54.0	g		0									
999-U999A-1H-1-A-55.0	g		0									
999-U999A-1H-1-A-56.0	g		0									
999-U999A-1H-1-A-57.5	g		0									
999-U999A-1H-1-A-58.0	g		0									
999-U999A-1H-1-A-6.0	g		0									
999-U999A-1H-1-A-60.0	g		0									
999-U999A-1H-1-A-62.0	g		0									
999-U999A-1H-1-A-62.5	g		0									
999-U999A-1H-1-A-64.0	g		0									
999-U999A-1H-1-A-65.0	g		0									
999-U999A-1H-1-A-66.0	g		0									
999-U999A-1H-1-A-67.5	g		0									
999-U999A-1H-1-A-68.0	g		0									
999-U999A-1H-1-A-7.5	g		0									
999-U999A-1H-1-A-70.0	g		0									
999-U999A-1H-1-A-72.0	g		0									
999-U999A-1H-1-A-72.5	g		0									
999-U999A-1H-1-A-74.0	g		0									
999-U999A-1H-1-A-75.0	g		0									
999-U999A-1H-1-A-76.0	g		0									
999-U999A-1H-1-A-77.5	g		0									
999-U999A-1H-1-A-78.0	g		0									
999-U999A-1H-1-A-8.0	g		0									
999-U999A-1H-1-A-80.0	g		0									
999-U999A-1H-1-A-82.0	g		0									
999-U999A-1H-1-A-82.5	g		0									
999-U999A-1H-1-A-84.0	g		0									
999-U999A-1H-1-A-85.0	g		0									
999-U999A-1H-1-A-86.0	g		0									
999-U999A-1H-1-A-87.5	g		0									
999-U999A-1H-1-A-88.0	g		0									
999-U999A-1H-1-A-90.0	g		0									
