tab	sites
site	location	age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	lon	magic_method_codes	method_codes	result_quality	result_type	samples	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc01	McMurdo2	1.18	0.005	Ma	Lisa Tauxe	This study	IE-SPEC	Trachyte flow, N flank Observation hill, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow	1.654e-05	3.374e-06	20.4	4.0	-77.85	Trachyte	166.64	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM			mc01b : mc01d : mc01g:mc01a	pmagpy-2.60	mc01b : mc01d : mc01g:mc01a											
mc01	McMurdo2	1.18	0.005	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	258.6	78.6	215.9	7.0		6.0	1.0	r	6.9745	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc01b : mc01c : mc01d : mc01e : mc01f : mc01h:mc01a											
mc01	McMurdo2	1.18	0.005	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.2		258.6	78.6	215.9	7.0	7.0				6.9745	0.0							-77.85		166.64	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc01b : mc01c : mc01d : mc01e : mc01f : mc01h:mc01a							4.5	8.1	-67.3	95.2	7.0
mc01						This study																																									
mc02	McMurdo2					This study		Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow					-77.85	Basalt	166.69																		
mc02	McMurdo2	0.33	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	328.6	-80.0	1079.2	6.0		5.0	1.0	n	5.9958	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc02b : mc02c : mc02f : mc02g : mc02h:mc02a											
mc02	McMurdo2	0.33	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.1		328.6	-80.0	1079.2	6.0	6.0				5.9958	0.0							-77.85		166.69	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc02b : mc02c : mc02f : mc02g : mc02h:mc02a							2.5	4.1	79.0	101.2	6.0
mc02						This study																																									
mc03	McMurdo3					This study		10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow					-77.84	Basalt	166.76																		
mc03	McMurdo3	0.348	0.004	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	352.0	-82.7	864.7	6.0		6.0	0.0	n	5.9942	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc03b : mc03c : mc03d : mc03f : mc03h:mc03a											
mc03	McMurdo3	0.348	0.004	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		352.0	-82.7	864.7	6.0	6.0				5.9942	0.0							-77.84		166.76	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc03b : mc03c : mc03d : mc03f : mc03h:mc03a							3.8	4.4	87.1	123.1	6.0
mc03						This study																																									
mc04	McMurdo3					This study		Basalt volcanic dike at Fortress Rock, Hut Point Peninsula.													Intrusive:Igneous	Volcanic Dike					-77.84	Basalt	166.7																		
mc04	McMurdo3	0.34	0.003	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.6	A	352.1	-86.8	292.3	5.0		4.0	1.0	n	4.988	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc04b : mc04e : mc04f : mc04g:mc04a											
mc04	McMurdo3	0.34	0.003	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.6		352.1	-86.8	292.3	5.0	5.0				4.988	0.0							-77.84		166.7	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc04b : mc04e : mc04f : mc04g:mc04a							17.4	8.9	84.1	355.2	5.0
mc04						This study																																									
mc06	McMurdo4	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.8	A	13.6	-78.8	254.4	5.0		5.0	0.0	n	4.9843	0.0	Extrusive:Igneous	Lava Flow					-77.83	Basalt	166.67	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc06c : mc06d : mc06g : mc06h:mc06a											
mc06	McMurdo4	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.8		13.6	-78.8	254.4	5.0	5.0				4.9843	0.0							-77.83		166.67	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc06c : mc06d : mc06g : mc06h:mc06a							5.2	9.3	79.8	196.0	5.0
mc06						This study																																									
mc07	McMurdo4	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	156.9	-69.1	555.9	5.0		5.0	0.0	n	4.9928	0.0	Extrusive:Igneous	Lava Flow					-77.8	Basalt	166.72	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc07c : mc07d : mc07e : mc07f:mc07b											
mc07	McMurdo4	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.2		156.9	-69.1	555.9	5.0	5.0				4.9928	0.0							-77.8		166.72	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc07c : mc07d : mc07e : mc07f:mc07b							1.9	6.2	41.2	328.3	5.0
mc07						This study																																									
mc08	McMurdo					This study		Basalt flow at Breached Cone, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow					-77.8	Basalt	166.83																		
mc08	McMurdo	0.65	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.7	A	38.5	-78.3	429.5	8.0		8.0	0.0	n	7.9837	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a											
mc08	McMurdo	0.65	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															4.336e-05	1.5080000000000002e-06	3.4789999999999996	3.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM			mc08b : mc08g:mc08a	pmagpy-2.60	mc08b : mc08g:mc08a											
mc08	McMurdo	0.65	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.7		38.5	-78.3	429.5	8.0	8.0				7.9837	0.0							-77.8		166.83	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a							2.8	5.2	75.1	234.6	8.0
mc08	McMurdo	0.65	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															4.336e-05	1.5080000000000002e-06	3.4789999999999996	3.0	-77.8		166.83	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		i	mc08b : mc08g:mc08a	pmagpy-2.60	mc08b : mc08g:mc08a	5.703e+22	3.0	1.984e+21	5.942e+22	3.0	2.067e+21					
mc08						This study																																									
mc09	McMurdo					This study		Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus.													Extrusive:Igneous	Lava Flow					-77.55	Trachyte	166.2																		
mc09	McMurdo	0.07400000000000001	0.0075	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.6	A	259.9	-82.7	234.2	8.0		8.0	0.0	n	7.9701	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a											
mc09	McMurdo	0.07400000000000001	0.0075	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.71e-05	1.007e-06	3.715	3.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM			mc09b : mc09d:mc09a	pmagpy-2.60	mc09b : mc09d:mc09a											
