name	row_number	problem_type	problem_col	error_message
hz05a1	0	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05a1 is not in measurements.experiment
hz05a1	1	value	experiments	This value: "hz05a1;ATRM" is not found in: experiment column in measurements table
hz05a2	2	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05a2 is not in measurements.experiment
hz05a2	3	value	experiments	This value: "hz05a2;ATRM" is not found in: experiment column in measurements table
hz05a3	4	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05a3 is not in measurements.experiment
hz05a3	5	value	experiments	This value: "hz05a3;ATRM" is not found in: experiment column in measurements table
hz05b1	6	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05b1 is not in measurements.experiment
hz05b1	7	value	experiments	This value: "hz05b1;ATRM" is not found in: experiment column in measurements table
hz05b2	8	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05b2 is not in measurements.experiment
hz05b2	9	value	experiments	This value: "hz05b2;ATRM" is not found in: experiment column in measurements table
hz05b3	10	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05b3 is not in measurements.experiment
hz05b3	11	value	experiments	This value: "hz05b3;ATRM" is not found in: experiment column in measurements table
hz05b4	12	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05b4 is not in measurements.experiment
hz05b4	13	value	experiments	This value: "hz05b4;ATRM" is not found in: experiment column in measurements table
hz05b5	14	value	experiments	This value (long): "LP-AN-TRM" is not found in: experiment column in measurements table.  Also (short): LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05b5 is not in measurements.experiment
hz05b5	15	value	experiments	This value: "hz05b5;ATRM" is not found in: experiment column in measurements table
hz05b6	16	value	experiments	This value (long): "LP-AN-ARM" is not found in: experiment column in measurements table.  Also (short): LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM:hz05b6 is not in measurements.experiment
hz05b6	17	value	experiments	This value: "hz05b6;ATRM" is not found in: experiment column in measurements table
