acceptance criteria:
specimen_int_n	specimen_scat
3	1.000
--------------------------------
er_sample_name	er_specimen_name	specimen_int_corr_anisotropy	Anisotropy_code	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_lab_field_dc_uT	specimen_int_min_uT	specimen_int_max_uT	WARNING
mc01a	mc01a	-	-	-	-	40.0	6.0	21.9	WARNING: No anisotropy correction
mc01b	mc01b	-	-	-	-	40.0	8.2	33.0	WARNING: No anisotropy correction
mc01d	mc01d	-	-	-	-	40.0	8.5	30.3	WARNING: No anisotropy correction
mc01g	mc01g	-	-	-	-	40.0	4.0	1093.5	WARNING: No anisotropy correction
mc02f	mc02f	-	-	-	-	40.0	4.1	32.5	WARNING: No anisotropy correction
mc03h	mc03h	-	-	-	-	40.0	9.4	69.4	WARNING: No anisotropy correction
mc04g	mc04g	-	-	-	-	40.0	0.8	21.1	WARNING: No anisotropy correction
mc06h	mc06h	-	-	-	-	40.0	7.7	34.5	WARNING: No anisotropy correction
mc07b	mc07b	-	-	-	-	40.0	0.6	51.2	WARNING: No anisotropy correction
mc08a	mc08a	-	-	-	-	40.0	32.2	74.8	WARNING: No anisotropy correction
mc08b	mc08b	-	-	-	-	40.0	16.5	78.8	WARNING: No anisotropy correction
mc08g	mc08g	-	-	-	-	40.0	12.6	75.6	WARNING: No anisotropy correction
mc08h	mc08h	-	-	-	-	40.0	5.1	52.9	WARNING: No anisotropy correction
mc09a	mc09a	-	-	-	-	40.0	3.7	136.3	WARNING: No anisotropy correction
mc09b	mc09b	-	-	-	-	40.0	15.5	63.5	WARNING: No anisotropy correction
mc09d	mc09d	-	-	-	-	40.0	11.2	41.1	WARNING: No anisotropy correction
mc100e	mc100e2	-	-	-	-	25.0	2.6	54.9	WARNING: No anisotropy correction
mc100f	mc100f2	-	-	-	-	25.0	4.5	37.3	WARNING: No anisotropy correction
mc100g	mc100g2	-	-	-	-	25.0	1.8	47.0	WARNING: No anisotropy correction
mc102a	mc102a2	-	-	-	-	25.0	1.0	12.1	WARNING: No anisotropy correction
mc102b	mc102b1	-	-	-	-	25.0	5.7	48.5	WARNING: No anisotropy correction
mc103a	mc103a2	-	-	-	-	25.0	6.0	26.0	WARNING: No anisotropy correction
mc103b	mc103b1	-	-	-	-	25.0	2.0	22.6	WARNING: No anisotropy correction
mc103c	mc103c1	-	-	-	-	25.0	5.3	44.0	WARNING: No anisotropy correction
mc103d	mc103d1	-	-	-	-	25.0	5.2	21.1	WARNING: No anisotropy correction
mc103e	mc103e1	-	-	-	-	25.0	6.6	43.4	WARNING: No anisotropy correction
mc104b	mc104b1	-	-	-	-	25.0	1.9	12.9	WARNING: No anisotropy correction
mc104c	mc104c2	-	-	-	-	25.0	2.0	10.8	WARNING: No anisotropy correction
mc105a	mc105a2	-	-	-	-	25.0	11.6	55.8	WARNING: No anisotropy correction
mc105c	mc105c1	-	-	-	-	25.0	10.3	41.2	WARNING: No anisotropy correction
mc105d	mc105d1	-	-	-	-	25.0	14.6	38.4	WARNING: No anisotropy correction
mc105j	mc105j1	-	-	-	-	25.0	24.0	43.1	WARNING: No anisotropy correction
mc107d	mc107d2	-	-	-	-	25.0	3.2	35.6	WARNING: No anisotropy correction
mc107e	mc107e2	-	-	-	-	25.0	1.6	47.7	WARNING: No anisotropy correction
mc108a	mc108a2	-	-	-	-	25.0	4.4	298.5	WARNING: No anisotropy correction
mc108c	mc108c1	-	-	-	-	25.0	4.3	13.7	WARNING: No anisotropy correction
mc108h	mc108h1	-	-	-	-	25.0	4.7	12.0	WARNING: No anisotropy correction
mc109a	mc109a1	-	-	-	-	25.0	28.9	146.3	WARNING: No anisotropy correction
mc109c	mc109c1	-	-	-	-	25.0	30.0	37.6	WARNING: No anisotropy correction
mc109d	mc109d1	-	-	-	-	25.0	24.9	38.1	WARNING: No anisotropy correction
mc109e	mc109e1	-	-	-	-	25.0	18.7	33.4	WARNING: No anisotropy correction
mc10a	mc10a	-	-	-	-	40.0	7.2	171.6	WARNING: No anisotropy correction
mc10b	mc10b	-	-	-	-	40.0	15.1	31.2	WARNING: No anisotropy correction
mc10d	mc10d	-	-	-	-	40.0	20.9	75.1	WARNING: No anisotropy correction
mc110a	mc110a1	-	-	-	-	25.0	0.1	14.0	WARNING: No anisotropy correction
mc110b	mc110b1	-	-	-	-	25.0	0.2	13.9	WARNING: No anisotropy correction
mc111d	mc111d2	-	-	-	-	25.0	11.4	29.3	WARNING: No anisotropy correction
mc111e	mc111e2	-	-	-	-	25.0	10.6	29.3	WARNING: No anisotropy correction
mc111l	mc111l1	-	-	-	-	25.0	0.9	34.2	WARNING: No anisotropy correction
mc112b	mc112b2	-	-	-	-	25.0	1.5	5.7	WARNING: No anisotropy correction
mc112c	mc112c1	-	-	-	-	25.0	1.7	8.6	WARNING: No anisotropy correction
mc113a	mc113a2	-	-	-	-	25.0	5.0	27.4	WARNING: No anisotropy correction
mc113j	mc113j1	-	-	-	-	25.0	5.7	20.8	WARNING: No anisotropy correction
mc113m	mc113m1	-	-	-	-	25.0	7.5	18.1	WARNING: No anisotropy correction
mc115a	mc115a2	-	-	-	-	25.0	12.0	71.1	WARNING: No anisotropy correction
mc115b	mc115b1	-	-	-	-	25.0	18.3	74.3	WARNING: No anisotropy correction
mc115e	mc115e1	-	-	-	-	25.0	5.8	42.4	WARNING: No anisotropy correction
mc115h	mc115h1	-	-	-	-	25.0	5.1	35.9	WARNING: No anisotropy correction
mc116b	mc116b1	-	-	-	-	25.0	23.7	114.0	WARNING: No anisotropy correction
mc116j	mc116j2	-	-	-	-	25.0	13.3	95.9	WARNING: No anisotropy correction
mc117a	mc117a1	-	-	-	-	25.0	12.9	32.3	WARNING: No anisotropy correction
mc117b	mc117b1	-	-	1.00	-	25.0	13.0	34.0	WARNING: No anisotropy correction
mc117d	mc117d2	-	-	-	-	25.0	6.0	36.3	WARNING: No anisotropy correction
mc117e	mc117e2	-	-	-	-	25.0	11.0	35.0	WARNING: No anisotropy correction
mc119a	mc119a1	-	-	-	-	25.0	19.8	118.9	WARNING: No anisotropy correction
mc119b	mc119b1	-	-	-	-	25.0	22.7	104.1	WARNING: No anisotropy correction
mc119d	mc119d2	-	-	-	-	25.0	18.9	55.4	WARNING: No anisotropy correction
mc119e	mc119e2	-	-	-	-	25.0	20.7	74.1	WARNING: No anisotropy correction
mc119f	mc119f2	-	-	-	-	25.0	20.1	71.7	WARNING: No anisotropy correction
mc11b	mc11b	-	-	-	-	40.0	11.0	93.5	WARNING: No anisotropy correction
mc11c	mc11c	-	-	-	-	40.0	20.0	121.8	WARNING: No anisotropy correction
mc11e	mc11e	-	-	-	-	40.0	14.7	103.4	WARNING: No anisotropy correction
